,v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4,Text_clean,sentiment
0,ham,Go until jurong point  crazy  Available only in bugis n great world la e buffet  Cine there got amore wat ,,,,go jurong point crazy available bugis n great world la e buffet cine got amore wat,positive
1,ham,Ok lar  Joking wif u oni ,,,,ok lar joking wif u oni,positive
2,spam,Free entry in  a wkly comp to win FA Cup final tkts st May   Text FA to  to receive entry question std txt rate T C s apply over s,,,,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply,positive
3,ham,U dun say so early hor  U c already then say ,,,,u dun say early hor u c already say,positive
4,ham,Nah I don t think he goes to usf  he lives around here though,,,,nah think goes usf lives around though,negative
5,spam,FreeMsg Hey there darling it s been  week s now and no word back  I d like some fun you up for it still  Tb ok  XxX std chgs to send  å£  to rcv,,,,freemsg hey darling week word back like fun still tb ok xxx std chgs send å£ rcv,positive
6,ham,Even my brother is not like to speak with me  They treat me like aids patent ,,,,even brother like speak treat like aids patent,positive
7,ham,As per your request  Melle Melle  Oru Minnaminunginte Nurungu Vettam  has been set as your callertune for all Callers  Press * to copy your friends Callertune,,,,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press * copy friends callertune,positive
8,spam,WINNER  As a valued network customer you have been selected to receivea å£ prize reward  To claim call   Claim code KL  Valid  hours only ,,,,winner valued network customer selected receivea å£ prize reward claim call claim code kl valid hours,positive
9,spam,Had your mobile  months or more  U R entitled to Update to the latest colour mobiles with camera for Free  Call The Mobile Update Co FREE on ,,,,mobile months u r entitled update latest colour mobiles camera free call mobile update co free,positive
10,ham,I m gonna be home soon and i don t want to talk about this stuff anymore tonight  k  I ve cried enough today ,,,,gonna home soon want talk stuff anymore tonight k cried enough today,negative
11,spam,SIX chances to win CASH  From  to   pounds txt  CSH and send to   Cost p day  days    TsandCs apply Reply HL  info,,,,six chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info,positive
12,spam,URGENT  You have won a  week FREE membership in our å£  Prize Jackpot  Txt the word  CLAIM to No   T C www dbuk net LCCLTD POBOX LDNWARW,,,,urgent week free membership å£ prize jackpot txt word claim c www dbuk net lccltd pobox ldnwarw,positive
13,ham,I ve been searching for the right words to thank you for this breather  I promise i wont take your help for granted and will fulfil my promise  You have been wonderful and a blessing at all times ,,,,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,positive
14,ham,I HAVE A DATE ON SUNDAY WITH WILL ,,,,date sunday,positive
15,spam,XXXMobileMovieClub  To use your credit  click the WAP link in the next txt message or click here  http  wap  xxxmobilemovieclub com n=QJKGIGHJJGCBL,,,,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n=qjkgighjjgcbl,positive
16,ham,Oh k i m watching here  ,,,,oh k watching,positive
17,ham,Eh u remember how  spell his name  Yes i did  He v naughty make until i v wet ,,,,eh u remember spell name yes v naughty make v wet,positive
18,ham,Fine if thatåÕs the way u feel  ThatåÕs the way its gota b,,,,fine thatåõs way u feel thatåõs way gota b,positive
19,spam,England v Macedonia   dont miss the goals team news  Txt ur national team to  eg ENGLAND to  Try WALES  SCOTLAND txt Ì¼  POBOXoxWWQ  ,,,,england v macedonia dont miss goals team news txt ur national team eg england try wales scotland txt ì¼ poboxoxwwq,positive
20,ham,Is that seriously how you spell his name ,,,,seriously spell name,negative
21,ham,IÛ÷m going to try for  months ha ha only joking,,,,iû÷m going try months ha ha joking,positive
22,ham,So Ì_ pay first lar  Then when is da stock comin ,,,,ì_ pay first lar da stock comin,negative
23,ham,Aft i finish my lunch then i go str down lor  Ard  smth lor  U finish ur lunch already ,,,,aft finish lunch go str lor ard smth lor u finish ur lunch already,positive
24,ham,Ffffffffff  Alright no way I can meet up with you sooner ,,,,ffffffffff alright way meet sooner,positive
25,ham,Just forced myself to eat a slice  I m really not hungry tho  This sucks  Mark is getting worried  He knows I m sick when I turn down pizza  Lol,,,,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol,negative
26,ham,Lol your always so convincing ,,,,lol always convincing,positive
27,ham,Did you catch the bus   Are you frying an egg   Did you make a tea  Are you eating your mom s left over dinner   Do you feel my Love  ,,,,catch bus frying egg make tea eating mom left dinner feel love,positive
28,ham,I m back  amp  we re packing the car now  I ll let you know if there s room,,,,back amp packing car let know room,positive
29,ham,Ahhh  Work  I vaguely remember that  What does it feel like  Lol,,,,ahhh work vaguely remember feel like lol,positive
30,ham,Wait that s still not all that clear  were you not sure about me being sarcastic or that that s why x doesn t want to live with us,,,,wait still clear sure sarcastic x want live us,positive
31,ham,Yeah he got in at  and was v apologetic  n had fallen out and she was actin like spoilt child and he got caught up in that  Till   But we won t go there  Not doing too badly cheers  You  ,,,,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheers,positive
32,ham,K tell me anything about you ,,,,k tell anything,positive
33,ham,For fear of fainting with the of all that housework you just did  Quick have a cuppa,,,,fear fainting housework quick cuppa,negative
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£ month Please confirm by replying YES or NO  If you reply NO you will not be charged,,,,thanks subscription ringtone uk mobile charged å£ month please confirm replying yes reply charged,positive
35,ham,Yup  Ok i go home look at the timings then i msg Ì_ again  Xuhui going to learn on nd may too but her lesson is at am,,,,yup ok go home look timings msg ì_ xuhui going learn nd may lesson,positive
36,ham,Oops  I ll let you know when my roommate s done,,,,oops let know roommate done,positive
37,ham,I see the letter B on my car,,,,see letter b car,positive
38,ham,Anything lor  U decide ,,,,anything lor u decide,positive
39,ham,Hello  How s you and how did saturday go  I was just texting to see if you d decided to do anything tomo  Not that i m trying to invite myself or anything ,,,,hello saturday go texting see decided anything tomo trying invite anything,positive
40,ham,Pls go ahead with watts  I just wanted to be sure  Do have a great weekend  Abiola,,,,pls go ahead watts wanted sure great weekend abiola,positive
41,ham,Did I forget to tell you   I want you   I need you  I crave you   But most of all   I love you my sweet Arabian steed   Mmmmmm   Yummy,,,,forget tell want need crave love sweet arabian steed mmmmmm yummy,positive
42,spam,   Rodger Burns   MSG = We tried to call you re your reply to our sms for a free nokia mobile   free camcorder  Please call now  for delivery tomorrow,,,,rodger burns msg = tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,positive
43,ham,WHO ARE YOU SEEING ,,,,seeing,positive
44,ham,Great  I hope you like your man well endowed  I am   lt  gt   inches ,,,,great hope like man well endowed lt gt inches,positive
45,ham,No calls messages missed calls,,,,calls messages missed calls,negative
46,ham,Didn t you get hep b immunisation in nigeria ,,,,get hep b immunisation nigeria,positive
47,ham,Fair enough  anything going on ,,,,fair enough anything going,positive
48,ham,Yeah hopefully  if tyler can t do it I could maybe ask around a bit,,,,yeah hopefully tyler could maybe ask around bit,positive
49,ham,U don t know how stubborn I am  I didn t even want to go to the hospital  I kept telling Mark I m not a weak sucker  Hospitals are for weak suckers ,,,,u know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers,negative
50,ham,What you thinked about me  First time you saw me in class ,,,,thinked first time saw class,positive
51,ham,A gram usually runs like   lt  gt    a half eighth is smarter though and gets you almost a whole second gram for   lt  gt ,,,,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt,positive
52,ham,K fyi x has a ride early tomorrow morning but he s crashing at our place tonight,,,,k fyi x ride early tomorrow morning crashing place tonight,positive
53,ham,Wow  I never realized that you were so embarassed by your accomodations  I thought you liked it  since i was doing the best i could and you always seemed so happy about \the cave\   I m sorry I didn t and don t have more to give  I m sorry i offered  I m sorry your room was so embarassing  ,,,,wow never realized embarassed accomodations thought liked since best could always seemed happy \the cave\ sorry give sorry offered sorry room embarassing,positive
54,spam,SMS  ac Sptv  The New Jersey Devils and the Detroit Red Wings play Ice Hockey  Correct or Incorrect  End  Reply END SPTV,,,,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,negative
55,ham,Do you know what Mallika Sherawat did yesterday  Find out now     lt URL gt ,,,,know mallika sherawat yesterday find lt url gt,positive
56,spam,Congrats   year special cinema pass for  is yours  call  now  C Suprman V  Matrix  StarWars  etc all  FREE  bx ip we  pm  Dont miss out  ,,,,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss,positive
57,ham,Sorry  I ll call later in meeting ,,,,sorry call later meeting,negative
58,ham,Tell where you reached,,,,tell reached,positive
59,ham,Yes gauti and sehwag out of odi series ,,,,yes gauti sehwag odi series,positive
60,ham,Your gonna have to pick up a   burger for yourself on your way home  I can t even move  Pain is killing me ,,,,gonna pick burger way home even move pain killing,negative
61,ham,Ha ha ha good joke  Girls are situation seekers ,,,,ha ha ha good joke girls situation seekers,positive
62,ham,Its a part of checking IQ,,,,part checking iq,positive
63,ham,Sorry my roommates took forever  it ok if I come by now ,,,,sorry roommates took forever ok come,positive
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short  He said will cut until i look nice ,,,,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,positive
65,spam,As a valued customer  I am pleased to advise you that following recent review of your Mob No  you are awarded with a å£ Bonus Prize  call ,,,,valued customer pleased advise following recent review mob awarded å£ bonus prize call,positive
66,ham,Today is \song dedicated day \  Which song will u dedicate for me  Send this to all ur valuable frnds but first rply me  ,,,,today \song dedicated day \ song u dedicate send ur valuable frnds first rply,positive
67,spam,Urgent UR awarded a complimentary trip to EuroDisinc Trav  Aco Entry Or å£  To claim txt DIS to   *å£  moreFrmMob  ShrAcomOrSglSuplt   LS AJ,,,,urgent ur awarded complimentary trip eurodisinc trav aco entry å£ claim txt dis *å£ morefrmmob shracomorsglsuplt ls aj,positive
